size	colour	x	y	fill
2.96378136845483	#132B43	0.178591245800554	0.587064676616915	#132B43
1.46969384566991	#132B43	0.0777814986348887	0.36318407960199	#132B43
0	#132B43	0.0456692102878697	0.0398009950248756	#132B43
0.379473319220205	#132B43	0.0476875832938821	0.736318407960199	#132B43
4.04277132670152	#132B43	0.29279188998354	0.263681592039801	#132B43
0.46475800154489	#132B43	0.0482666547710935	0.860696517412935	#132B43
0.379473319220205	#132B43	0.0480975407682551	0.960199004975124	#132B43
0.46475800154489	#132B43	0.0484938853507587	0.462686567164179	#132B43
0	#132B43	0.0455456471155172	0.512437810945274	#132B43
0	#132B43	0.0457257561464039	0.0149253731343284	#132B43
0	#132B43	0.0455131856041365	0.238805970149254	#132B43
0.657267069006199	#132B43	0.0522484256428767	0.63681592039801	#132B43
0.268328157299975	#132B43	0.0462833611402828	0.139303482587065	#132B43
0	#132B43	0.0454545454545455	0.562189054726368	#132B43
0	#132B43	0.0454555926000739	0.437810945273632	#132B43
0	#132B43	0.045471299783	0.786069651741294	#132B43
0	#132B43	0.0454545454545455	0.537313432835821	#132B43
0.268328157299975	#132B43	0.0465975047988062	0.313432835820895	#132B43
0.848528137423857	#132B43	0.0563621368512397	0.114427860696517	#132B43
0	#132B43	0.0454545454545455	0.711442786069652	#132B43
0	#132B43	0.0455754907630769	0.213930348258706	#132B43
0.268328157299975	#132B43	0.0469079834479801	0.189054726368159	#132B43
0.53665631459995	#132B43	0.0502714148852365	0.885572139303483	#132B43
0.46475800154489	#132B43	0.0486153542320544	0.686567164179104	#132B43
0.379473319220205	#132B43	0.0480446599190703	0.835820895522388	#132B43
0.379473319220205	#132B43	0.047845178695908	0.288557213930348	#132B43
0.46475800154489	#132B43	0.0491174605129275	0.338308457711443	#132B43
0.379473319220205	#132B43	0.0473886232455208	0.985074626865672	#132B43
0.268328157299975	#132B43	0.0463058747691437	0.810945273631841	#132B43
0.268328157299975	#132B43	0.0465634725691328	0.761194029850746	#132B43
0	#132B43	0.0455100441675512	0.487562189054726	#132B43
0	#132B43	0.045468681919179	0.412935323383085	#132B43
0	#132B43	0.0457466990569722	0.388059701492537	#132B43
0	#132B43	0.0458828279756656	0.0895522388059701	#132B43
1.34164078649987	#132B43	0.0728719568249333	0.0646766169154229	#132B43
0	#132B43	0.0455048084399092	0.91044776119403	#132B43
0	#132B43	0.0456618802691709	0.164179104477612	#132B43
0	#132B43	0.0456765403065686	0.611940298507463	#132B43
1.81989010657237	#132B43	0.0954735459101585	0.661691542288557	#132B43
6	#132B43	0.590105825574247	0.935323383084577	#132B43
