State,population
Andhra Pradesh,87264
Arunachal Pradesh,1288
Assam,31837
Bihar,102086
Chhattisgarh,25360
Goa,1936
Gujarat,61645
Haryana,26842
Himachal Pradesh,7006
Jammu and Kashmir,12215
Jharkhand,32934
Karnataka,61455
Kerala,35359
Madhya Pradesh,76070
Maharashtra,117794
Manipur,2544
Meghalaya,2725
Mizoram,1044
Nagaland,2337
Orissa,41939
Punjab,28695
Rajasthan,71411
Sikkim,636
Tamil Nadu,68836
Tripura,3757
Uttar Pradesh,212575
Uttarakhand,10419
West Bengal,92253
Andaman and Nicobar,539
Chandigarh,1682
D.& N.Haveli,410
Daman & Diu,308
Delhi,20287
Lakshadweep,79
Puducherry,1596
